,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-26 00:00:00,2,1,30,0,0,-61,-0.9086561903891126,-0.9337191588231026,-0.9337191588231026,-1.0041170236823982
2019-08-26 01:00:00,2,1,23,0,0,-16,-0.9159662228490264,-0.9337191588231026,-0.9337191588231026,-0.9570167222674069
2019-08-26 02:00:00,2,1,8,0,0,66,-0.9316305781202702,-0.9337191588231026,-0.9337191588231026,-0.8706686271850389
2019-08-26 03:00:00,2,1,9,0,0,170,-0.9305862877688539,-0.9337191588231026,-0.9337191588231026,-0.7616568955267722
2019-08-26 04:00:00,2,1,11,0,0,299,-0.9284977070660214,-0.9337191588231026,-0.9337191588231026,-0.627121443557825
2019-08-26 05:00:00,2,1,17,0,0,518,-0.9222319649575239,-0.9337191588231026,-0.9337191588231026,-0.39840892679028306
2019-08-26 06:00:00,2,1,86,27,0,956,-0.8501759307098025,-0.910862727890693,-0.9337191588231026,0.05859899505713018
2019-08-26 07:00:00,2,1,234,456,736,1743,-0.6956209587001969,-0.4632478347954688,-0.17134221793935706,0.8809820879354802
2019-08-26 08:00:00,2,1,523,1239,449,1462,-0.39382104714089977,0.35452525051295536,-0.47012436936141244,0.5869871494982352
2019-08-26 09:00:00,2,1,771,955,546,1562,-0.13483703998966895,0.05815848953412037,-0.36925416011126444,0.6919392459363252
2019-08-26 10:00:00,2,1,1064,1054,810,1828,0.17114003297529323,0.1611388665180364,-0.09351581620596144,0.9699294407311176
2019-08-26 11:00:00,2,1,1515,1319,1740,2759,0.6421149814640235,0.43811521155219574,0.8776029386078348,1.9414781253424953
2019-08-26 12:00:00,2,1,2751,2249,1720,2739,1.9328578558145124,1.4094931172345468,0.8564661021199873,1.920433476508237
2019-08-26 13:00:00,2,1,2996,2229,1243,2262,2.1887089919114944,1.3884189561746543,0.35858537525147904,1.4225749278141566
2019-08-26 14:00:00,2,1,2021,1752,1218,2237,1.1705258992806475,0.8905135297032911,0.3325215915353066,1.3967250606958812
2019-08-26 15:00:00,2,1,2025,1728,1414,2433,1.1747030606863125,0.8645576725314504,0.5369789336297761,1.6013885309877662
2019-08-26 16:00:00,2,1,1951,1923,2024,3043,1.0974255746815098,1.0691489090450828,1.1741607038648096,2.2386060288114327
2019-08-26 17:00:00,2,1,1861,2534,1381,2400,1.003439443054047,1.706362789917769,0.5022163658173278,1.5666542059409112
2019-08-26 18:00:00,2,1,1310,1890,696,1715,0.42803545942369153,1.0344183330290158,-0.21278974482303042,0.8516340776952196
