date_time,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-30 16:00:00,22,1,4146,4336,4592,5964,1.7768332840508456,1.9214456699592288,2.1167466620637527,3.159364370098994
2019-08-30 17:00:00,22,1,4676,5282,3999,5370,2.179877706680037,2.640954204048919,1.665217420656444,2.7078807309424353
2019-08-30 18:00:00,22,1,3871,4688,2908,4279,1.5677064609885292,2.1894465772234795,0.8354133423123542,1.878122133030809
2019-08-30 19:00:00,22,1,3075,3597,2724,4095,0.9623793658699692,1.3596662508257198,0.6955275316322221,1.7382819035646595
2019-08-30 20:00:00,22,1,2361,3413,2580,3951,0.4194100870827183,1.2198023211262812,0.5860100512955824,1.628809906175337
2019-08-30 21:00:00,22,1,2347,3269,2563,3934,0.4087636306359095,1.1103085408927456,0.5733899832880663,1.616235418551654
2019-08-30 22:00:00,22,1,1815,3252,1665,3036,0.004198285657173493,1.0977102330400297,-0.10942443636352556,0.9334664680037688
2019-08-30 23:00:00,22,1,1277,2355,996,2367,-0.4049298263701949,0.4149194818990964,-0.6185313352418667,0.4244051316156967
2019-08-31 00:00:00,22,1,718,1685,187,1559,-0.8300276230677764,-0.09416542929342137,-1.2332148621472196,-0.1902329069611852
2019-08-31 01:00:00,22,1,547,877,0,1308,-0.9600664839537988,-0.7088255322501722,-1.3410575325146008,-0.3808678670085273
2019-08-31 02:00:00,22,1,411,626,0,1120,-1.0634892037227992,-0.8994838905401189,-1.3410575325146008,-0.5241395016407567
2019-08-31 03:00:00,22,1,229,438,0,997,-1.201893137531314,-1.0427776090138732,-1.3410575325146008,-0.6176597131565529
2019-08-31 04:00:00,22,1,208,315,0,982,-1.217862822201527,-1.1363212714913162,-1.3410575325146008,-0.6285480702427572
2019-08-31 05:00:00,22,1,231,300,0,1025,-1.2003722151817695,-1.147231757741741,-1.3410575325146008,-0.5960804344372788
2019-08-31 06:00:00,22,1,350,343,0,1197,-1.1098773353838949,-1.1147874158254314,-1.3410575325146008,-0.4650211504677566
2019-08-31 07:00:00,22,1,611,515,389,1761,-0.9113969687683868,-0.9837504198451812,-1.0796403083342156,-0.03633973436754978
2019-08-31 08:00:00,22,1,1075,1079,875,2247,-0.558542983674151,-0.5550921967965171,-0.7101902491474168,0.33315581747375106
2019-08-31 09:00:00,22,1,1783,1565,1295,2667,-0.020136471935532432,-0.185618942788694,-0.39058736913137815,0.6528042388504891
2019-08-31 10:00:00,22,1,1994,1985,1776,3148,0.14032083594137226,0.1340062666313111,-0.025314381625219318,1.0181227136787954
2019-08-31 11:00:00,22,1,2468,2466,2050,3422,0.5007794327833288,0.4993023994342109,0.18347902903137747,1.2269616224903679
2019-08-31 12:00:00,22,1,2820,2740,2259,3631,0.7684617663030939,0.7081182054452794,0.34230740842562457,1.385835478350904
2019-08-31 13:00:00,22,1,3274,2949,2353,3726,1.113711139649609,0.8669696311179688,0.4140072464921827,1.4575808160837749
2019-08-31 14:00:00,22,1,3629,3043,2422,3794,1.3836748566936905,0.9386919256929359,0.4660329792579744,1.5096520342900273
2019-08-31 15:00:00,22,1,3753,3112,2441,3813,1.477972042365426,0.9907407039924774,0.4805183911869313,1.52418298698133
2019-08-31 16:00:00,22,1,3572,3131,2767,4139,1.3403285697316831,1.0052485971859313,0.7284558262625196,1.772165938799887
2019-08-31 17:00:00,22,1,3477,3457,2540,3912,1.2680847581283374,1.253209056644312,0.5558360681624367,1.5995916734807458
2019-08-31 18:00:00,22,1,3137,3230,2249,3621,1.009527958705837,1.0806118060537422,0.3343980315616243,1.3781991128646431
2019-08-31 19:00:00,22,1,2650,2939,2178,3550,0.6391833665918437,0.8591967171246341,0.28041962636641404,1.3242661686872388
